"","column 1","column 2","column 3","column 4","column 5","column 6","column 7","column 8","column 9","column 10","column 11","column 12"
"row 1",0.29754536019307,0.000108154877784988,0.000734314696540182,0.000711545248585448,0,9.48726998113931e-06,0,0,0.000466773683072054,9.67701538076209e-05,0.000130924325739722,0.000396808263480687
"row 2",0.296545221876459,0.00293812520351061,0.000327510090339778,0.000261250823508031,0.000200670922404719,0,0,0.000113587314568709,4.92211696464406e-05,0.000157129118486714,0,2.46156875776933e-05
"row 3",0.385395524329951,7.37055463423623e-05,2.30329832319882e-06,7.14022480191634e-05,1.38197899391929e-05,7.83121429887599e-05,0,0.000181960567532707,2.30329832319882e-05,0,0,7.48727163821503e-06
"row 4",0.346894598498305,2.00286810712941e-06,6.80975156423999e-05,0,0.000178255261534517,0.000194278206391553,0,0,0,7.8111856178047e-05,1.20172086427765e-05,2.60426839590088e-05
"row 5",0.34739811888467,0.000235473119837705,2.41510892141236e-05,4.83021784282471e-05,4.83021784282471e-05,7.44658584102143e-05,0.000199246486016519,0.000573588368835435,7.44658584102143e-05,0,0.000191196122945145,0
"row 6",0.333874600971424,0.000411747517181446,0.000561646382883447,3.60516259283294e-05,0.000204925031592609,5.5026165890608e-05,2.84618099434179e-05,0.000305490093392686,0,0,5.5026165890608e-05,9.04640600681359e-05
"row 7",0.369491512451975,0.00708873930998602,0.00271518225864143,0.000607664292914512,0.000317042239781485,7.31635937957272e-05,0,2.43878645985757e-05,0.000276395798783858,0.000126003967092641,5.48726953467954e-05,0
"row 8",0.483966583942116,0.488997797084231,0.0122496967896834,0.000690576965916685,0.000128709685403827,0.000183163783074676,0,0.000668300289596792,0.000249993812034356,0.00048266132026435,0.000279696047127546,0.000136782395301122
